Zip,Zip Latitude,Zip Longitude,Venue id,Venue,Venue Latitude,Venue Longitude,Venue Category
10023,40.776099,-73.98285,4a84249ef964a520c8fb1fe3,Rite Aid,40.7771947,-73.9830383,Pharmacy
10023,40.776099,-73.98285,4a8f37f5f964a520701420e3,Acker Merrall & Condit,40.77829614436272,-73.98089711755222,Wine Shop
10023,40.776099,-73.98285,5b3ba9d360255e002c56332a,Dig Inn,40.77426,-73.9815,American Restaurant
10023,40.776099,-73.98285,62016878b412585baf50536f,Charles Pan-Fried Chicken,40.777901,-73.980431,Fried Chicken Joint
10023,40.776099,-73.98285,4ee6366b77c8e89319c7e4b8,Joanne Trattoria,40.77443169968248,-73.98054354601426,Italian Restaurant
10023,40.776099,-73.98285,4b2ef4dbf964a520b5e824e3,Old John's Luncheonette,40.775323170285155,-73.9835745717441,American Restaurant
10023,40.776099,-73.98285,623b16c2ae99e64de0fd2b50,Maman,40.773949,-73.981421,Café
10023,40.776099,-73.98285,4a43e1f3f964a520e8a61fe3,Clark Studio Theater,40.7740691854791,-73.98467906522265,Theater
10023,40.776099,-73.98285,4e08bd396365ecbd5d5612fb,Francesca Beale Theater,40.773571720755676,-73.98351437225175,Movie Theater
10023,40.776099,-73.98285,3fd66200f964a52024e81ee3,Merkin Concert Hall,40.77517864857521,-73.98312962481987,Concert Hall
10292,40.780751,-73.977182,59541640a22db738071fa21f,Levain Bakery,40.781513,-73.97926,Bakery
10292,40.780751,-73.977182,5d434058ba462b0008f64658,Daily Provisions,40.78224746176124,-73.97871494293211,Café
10292,40.780751,-73.977182,4b4a02f4f964a520e07726e3,79th Street Greenmarket,40.78194890969177,-73.9754855632782,Farmers Market
10292,40.780751,-73.977182,49b0c608f964a520cd521fe3,Shake Shack,40.78067635406833,-73.9764431673722,Burger Joint
10292,40.780751,-73.977182,4de53a6218385df2b067252b,Guggenheim Hall of Minerals,40.781268530914225,-73.97532999515532,Exhibit
10292,40.780751,-73.977182,4ad854bbf964a5200b1121e3,Equinox West 76th Street,40.78145984590626,-73.97964993963983,Gym
10292,40.780751,-73.977182,4de53aead164df85753d0bf1,Arthur Ross Hall of Meteorites,40.781045371912164,-73.97548191018569,History Museum
10292,40.780751,-73.977182,4b365ac3f964a520773325e3,Pure Yoga West,40.7816589375539,-73.97954526697957,Yoga Studio
10292,40.780751,-73.977182,5d9a8a03f6332c0008d6661d,Asset,40.77957,-73.976965,Restaurant
10292,40.780751,-73.977182,4a80bb75f964a5200ff61fe3,Theodore Roosevelt Park (Museum Park),40.7818514,-73.9747587,Park
10292,40.780751,-73.977182,4b22b141f964a520eb4b24e3,Pour,40.780591,-73.9799654,Wine Shop
10292,40.780751,-73.977182,485f7eecf964a520da501fe3,Levain Bakery,40.77979,-73.980065,Bakery
10292,40.780751,-73.977182,5c8878f867e5f2002c1d319b,Leyla,40.778759,-73.978389,Mediterranean Restaurant
10292,40.780751,-73.977182,5cedb5a6031320002c40a508,Tacombi,40.782514,-73.978539,Mexican Restaurant
10292,40.780751,-73.977182,5b7eeb2acabcff002b47a151,Sala Thai,40.78012405365611,-73.98047537063451,Thai Restaurant
10292,40.780751,-73.977182,4a83080ff964a520e1f91fe3,Lenwich by Lenny's,40.77892145171376,-73.97780528070915,Sandwich Place
10292,40.780751,-73.977182,59c71a978ad62e7976d495d6,Da Capo Columbus,40.77955308657451,-73.9772804283939,Coffee Shop
10292,40.780751,-73.977182,4acea43cf964a5208ad120e3,Raku It's Japanese II,40.77999142937673,-73.97661045826288,Japanese Restaurant
10292,40.780751,-73.977182,62c0e19ad374986107c1c05e,La Pecora Bianca,40.78052,-73.976428,Italian Restaurant
10292,40.780751,-73.977182,4a467e38f964a520f6a81fe3,Pappardella,40.77928970535379,-73.97745572368103,Italian Restaurant
10292,40.780751,-73.977182,4aae5f71f964a520eb6120e3,Hummus Place,40.78014851788099,-73.98055648333695,Israeli Restaurant
10292,40.780751,-73.977182,4efa213530f894d86acd200a,Blue Whale,40.78072345105328,-73.97362746924416,Exhibit
10292,40.780751,-73.977182,4bbcaefef57ba593aa10adb9,Milstein Hall of Ocean Life,40.78072461490493,-73.97362302019194,Exhibit
10292,40.780751,-73.977182,4133bf80f964a520b31a1fe3,Dive 75,40.779512733697665,-73.97771623615462,Dive Bar
10292,40.780751,-73.977182,49ef2aabf964a52083681fe3,Amsterdam Ale House,40.781255220529324,-73.97990181796905,Pub
12903,44.683468,-73.44639,5740ecd3cd10ca3ce1a35900,Oval Craft Brewing,44.683215,-73.447346,Brewery
12903,44.683468,-73.44639,4df56a3018386ecb4e375e5e,U.S. Oval,44.68466626887728,-73.44702124307238,Track
12903,44.683468,-73.44639,4e03726ed4c07481580ed40f,KeyBank,44.682235371610005,-73.44872595337301,Bank
12903,44.683468,-73.44639,4bfd4748f7c82d7fa3e98d04,SUBWAY,44.682940407395556,-73.44927564436853,Sandwich Place
12903,44.683468,-73.44639,5af367cf23a2e6002cfc3460,Maplefields Mobile. US Ave,44.68233283027385,-73.44790263470287,Coffee Shop
12903,44.683468,-73.44639,4dc2f334b0fb5556ccb24ecc,Champlain Valley Transportation Musuem,44.68322,-73.44448299999999,Museum
12903,44.683468,-73.44639,4e77622ee4cd32543829506c,War of 1812 Museum,44.682044982910156,-73.44638061523438,History Museum
12903,44.683468,-73.44639,4d7d1172645ea35d9a6451f8,Golden House,44.682406,-73.448883,Chinese Restaurant
12903,44.683468,-73.44639,4da4a7f6b521224b635b37ee,Sunoco Gas Station,44.68185058361373,-73.44835958619643,Convenience Store
